127.0.0.1 - - [04/Jun/2023:19:50:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:50:05 +0530] "GET /project_3/ HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:50:05 +0530] "GET /project_3/img/Open.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:50:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:50:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:50:07 +0530] "GET /project_3/img/ramji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:20 +0530] "GET /project_3/ HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:20 +0530] "GET /project_3/img/Tech.jpg HTTP/1.1" 200 1255945
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:55:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:00 +0530] "GET /project_3/ HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:00 +0530] "GET /project_3/img/Thought.jpg HTTP/1.1" 200 593516
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:29 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:29 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:31 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:31 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:32 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:32 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:32 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:32 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:33 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:33 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:33 +0530] "GET /project_3/ HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:56:33 +0530] "GET /project_3/img/Thatisimage.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:57:36 +0530] "GET /project_3/ HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:57:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:57:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:58:30 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [04/Jun/2023:19:58:30 +0530] "GET /project_3/img/sun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2023:20:00:26 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [04/Jun/2023:20:00:28 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [04/Jun/2023:20:01:04 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [04/Jun/2023:20:01:04 +0530] "GET /project_3/img/sun.jpg HTTP/1.1" 200 152231
0:0:0:0:0:0:0:1 - - [04/Jun/2023:20:11:52 +0530] "GET /img/logo.png HTTP/1.1" 404 725
